R10,54.45,53.73,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,139.56,55.15,180.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,175.85,9.27,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,105.85,46.84,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,147.39,45.04,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,84.43,17.41,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,173.79,9.15,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,107.37,61.97,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,165.45,52.29,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,165.35,49.73,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,143.28,51.33,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,87.33,20.82,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,81.21,18.32,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,28.09,103.51,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,63.46,42.91,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,69.37,43.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,67.58,43.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,92.57,29.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,68.03,110.21,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,39.78,110.05,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,111.33,60.88,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,79.56,110.04,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,94.18,28.98,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,71.35,110.07,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,172.95,16.12,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,81.16,15.89,0.00,,SJ
TP1,28.71,77.14,0.00,TPTP20R,TP20R
TP10,45.18,14.70,0.00,TPTP20R,TP20R
TP11,28.59,14.70,0.00,TPTP20R,TP20R
TP12,88.33,66.81,0.00,TPTP20R,TP20R
TP13,81.78,67.01,0.00,TPTP20R,TP20R
TP14,137.17,15.20,0.00,TPTP20R,TP20R
TP15,34.12,14.70,0.00,TPTP20R,TP20R
TP16,39.65,14.70,0.00,TPTP20R,TP20R
TP17,130.68,15.20,0.00,TPTP20R,TP20R
TP2,33.91,77.14,0.00,TPTP20R,TP20R
TP3,143.65,15.20,0.00,TPTP20R,TP20R
TP4,105.57,102.09,0.00,TPTP20R,TP20R
TP5,39.11,77.14,0.00,TPTP20R,TP20R
TP6,44.31,77.14,0.00,TPTP20R,TP20R
TP7,105.57,89.39,0.00,TPTP20R,TP20R
TP8,105.57,96.29,0.00,TPTP20R,TP20R
TP9,93.97,66.59,0.00,TPTP20R,TP20R
U1,57.79,62.46,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,35.00,60.34,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,103.15,54.94,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,154.97,58.52,0.00,MAX17048G+T10,SON50P200X200X80-9N
